configuration,epsilon_decay,training_episodes,training_minutes,final_epsilon,mean_reward_final_20,training_success_rate_final_50,evaluation_success_rate,evaluation_mean_reward
config_a,0.995,650,2.5639501988500037,0.05,14.563079979492978,1.0,1.0,13.21360116743017
config_b,0.985,650,1.987208834183328,0.05,14.691006226662575,1.0,1.0,13.164112086591922
