goal,episodes,successes,success_rate,mean_reward,mean_episode_length,mean_final_absolute_error
-0.8,5,5,1.0,10.961899765580892,23.0,0.005844094584800952
-0.4,5,5,1.0,15.646469762129708,18.0,0.0005402657849447601
+0.4,5,5,1.0,15.48714129361324,18.0,0.004165697454794004
+0.8,5,5,1.0,10.758893848396838,25.0,0.005313188173740935
Overall,20,20,1.0,13.21360116743017,21.0,0.003965811499570163
