episode,cumulative_reward,success,episode_length,final_absolute_error,goal_angle,epsilon,mean_loss,terminated,truncated,elapsed_seconds
1,-104.03885188698769,0,150,1.0204905570316838,0.24367882032145705,1.0,nan,0,1,0.4193112689999907
2,-55.78037000419572,0,150,0.16726805001206368,-0.6038951845218055,0.995,nan,0,1,0.8438144810002086
3,2.795781190320845,1,75,0.02410077685640731,0.11700905111600901,0.990025,nan,1,0,1.0150034359999154
4,-77.3597541153431,0,150,0.21935016116241157,0.6489668427044994,0.985074875,0.1590057102820048,0,1,1.4511666130001686
5,-129.6569862961769,0,150,1.1720650783787807,0.386883191428097,0.9801495006250001,0.030914366867703696,0,1,2.4793286180001815
6,15.42391462395899,1,101,0.03115472720527704,-0.17968020434304877,0.9752487531218751,0.03875893046433973,1,0,3.177147440000226
7,-72.01121643185616,0,150,0.5557687512626925,-0.21943329235818199,0.9703725093562657,0.04993546698242426,0,1,4.169370075000188
8,-131.55597698688507,0,150,0.6651557579527789,0.45987630701859783,0.9655206468094844,0.040881889428322514,0,1,5.279072566000195
9,-13.714554638508712,1,83,0.012336358421308424,0.7079059140326669,0.960693043575437,0.03994120549163725,1,0,5.87155841799995
10,-104.40979561209679,0,150,1.0568298116164958,0.18522072768389253,0.9558895783575597,0.04063045467250049,0,1,6.965253857000334
11,-157.41809910535812,0,150,1.4824233801808422,-0.782196808697174,0.9511101304657719,0.03136562818661332,0,1,8.078112064999914
12,-122.2618598639965,0,150,1.4621073780753147,-0.44407752852496785,0.946354579813443,0.034392774640582505,0,1,9.26581481500034
13,-123.78464758396149,0,150,0.6276084772270075,0.531603493527921,0.9416228069143757,0.03345888807127873,0,1,10.317529395000292
14,-61.021412153169514,0,150,0.40592446716305586,0.3618016799416641,0.9369146928798039,0.03200243318453431,0,1,11.307781908999914
15,-13.560371156246404,1,82,0.0016615806817109058,0.2946667250488668,0.9322301194154049,0.02323593759750266,1,0,11.824359304000154
16,-25.304896631091843,0,150,0.04928130065742636,-0.30558111909400837,0.9275689688183278,0.030469229646647968,0,1,12.744000499000322
17,23.493757183966228,1,44,0.0014004783909876972,0.1403954538661829,0.9229311239742362,0.024242679017003287,1,0,12.980774252000174
18,-161.8581062555313,0,150,1.8362603513628857,-0.28114589967795767,0.918316468354365,0.03714570496852199,0,1,13.994020714000271
19,-97.11266447603703,0,150,1.3157226595683582,-0.20100114739577413,0.9137248860125932,0.029404575588802495,0,1,15.492547841000032
20,-16.350259200047006,0,150,0.24371753314634784,0.17491226697253048,0.9091562615825302,0.036934001094972094,0,1,16.78773002700018
21,-87.38139685019851,0,150,0.5608149870605608,0.09612699503290822,0.9046104802746175,0.03619609145758053,0,1,17.87695760900033
22,11.13571144625311,1,117,0.03482987306421648,0.7095895243846457,0.9000874278732445,0.033538870425878935,1,0,18.6809855219999
23,-18.48865565166926,0,150,0.030288993501839445,-0.7241736232584464,0.8955869907338783,0.036285890660559136,0,1,19.80171026500011
24,6.843011941388249,1,32,0.03289034790207246,0.6779742046974904,0.8911090557802088,0.04027571581536904,1,0,20.040389826000137
25,17.611929806694388,1,38,0.035977387353128096,-0.13706960015639624,0.8866535105013078,0.03354681258727061,1,0,20.32844100200009
26,4.707554613566023,1,60,0.007542216574730511,-0.025013240245493784,0.8822202429488013,0.03832608619704843,1,0,20.763080662999982
27,10.597390668361914,1,85,0.002713259757317066,0.12859580034507978,0.8778091417340573,0.04382870584068929,1,0,21.569729896000354
28,13.367302027530968,1,29,0.018831309392469325,-0.19082424765577133,0.8734200960253871,0.056859108908423064,1,0,21.80133013800014
29,15.177406835090368,1,70,0.022463998445001243,-0.3945381161003157,0.8690529955452602,0.03989030729447093,1,0,22.382547261000127
30,17.909139020554722,1,70,0.020816631843865507,0.5405387751580801,0.8647077305675338,0.042324466457856556,1,0,22.91210958900001
31,-58.75648769089021,0,150,0.17961776999528015,-0.011782097138891445,0.8603841919146962,0.047108466463784374,0,1,24.201921910000237
32,-59.834861414926124,0,150,0.16925607223260009,0.6310052295022517,0.8560822709551227,0.037237297563503184,0,1,25.38163138100026
33,8.544517468009142,1,49,0.00436262933560938,-0.4587333095580835,0.851801859600347,0.05574736409649557,1,0,25.827560307000113
34,-62.077028951607645,0,150,0.20172574010379662,0.4901304146519927,0.8475428503023453,0.03666204859813054,0,1,26.909673273999942
35,12.506067298725247,1,29,0.014916430108082634,0.4574916936679889,0.8433051360508336,0.034299866745954956,1,0,27.123255322000205
36,17.133173880632967,1,13,0.01279811158363417,-0.12981905947148475,0.8390886103705794,0.03448152363013763,1,0,27.213816596000015
37,-39.04295987300575,0,150,0.4168576235571677,0.6713638198029683,0.8348931673187264,0.04218276333684723,0,1,28.26974411800029
38,4.419181926921007,1,44,0.024980860860870424,0.37838613014952616,0.8307187014821328,0.03649182541465217,1,0,28.571179981000114
39,17.442715623788537,1,12,0.004650531207377073,-0.1054187342309888,0.8265651079747222,0.048138659757872425,1,0,28.66428735799991
40,-71.1077789776027,0,150,0.061658111777614155,0.796222003816424,0.8224322824348486,0.047974396403878926,0,1,30.075889294000262
41,-4.237412242731082,1,60,0.039254658360444505,-0.2937370882383974,0.8183201210226743,0.029603991486753026,1,0,30.605209083000318
42,15.461311027780175,1,18,0.037795104086448095,0.37135718228466486,0.8142285204175609,0.03557879017252061,1,0,30.74654191300033
43,-12.599831127573278,0,150,0.05017692116621342,-0.7290832140624011,0.810157377815473,0.047503967694938184,0,1,31.770310966000125
44,14.393140307278372,1,26,0.019637428491335762,0.18473970925725403,0.8061065909263957,0.03620175150437997,1,0,31.93462831600027
45,16.346975369751455,1,26,0.013700001760554026,0.113210288664512,0.8020760579717637,0.03502410073549701,1,0,32.10830078400022
46,7.5958304266445325,1,110,0.03421372177226595,-0.47000750433623967,0.798065677681905,0.04499757114628499,1,0,33.1213046820003
47,19.867498703463934,1,19,0.004777032237091514,0.12124342689605272,0.7940753492934954,0.04491679948803626,1,0,33.320264235000195
48,43.01249563719611,1,123,0.008199547625094256,-0.20426755225080473,0.7901049725470279,0.044739104496936,1,0,34.268001822000315
49,15.232936174073256,1,20,0.003997142671648579,-0.3470671077314631,0.7861544476842928,0.045900719705969095,1,0,34.402044338999985
50,16.61451738085598,1,16,0.025941766799055715,0.1613828738961527,0.7822236754458713,0.03492396289948374,1,0,34.50224286100001
51,-30.648254242353147,0,150,0.2893632991639341,0.776784602163608,0.778312557068642,0.04856858900437752,0,1,35.81728816700024
52,2.604656810406585,1,91,0.01440005430953284,-0.4165265191180755,0.7744209942832988,0.04865073704334733,1,0,36.562626403000195
53,18.298109392181505,1,88,0.005898896022007341,0.06633041182526878,0.7705488893118823,0.050167045566592024,1,0,37.37296777000029
54,15.618712000874803,1,36,0.016984628033031246,0.3666704356026038,0.7666961448653229,0.040389588930540614,1,0,37.69498051100027
55,15.861748508783057,1,18,0.004398407797901016,0.27883744915493436,0.7628626641409962,0.059748806783722505,1,0,37.86590405200013
56,7.577022390393539,1,34,0.01424772629507498,0.7098488656188722,0.7590483508202912,0.04868641851798577,1,0,38.13489758100013
57,17.669845056161286,1,8,0.016421274982620096,0.009649079277431083,0.7552531090661897,0.04335444653406739,1,0,38.18249084400031
