optimization_step,episode,loss
1,4,0.4520255923271179
2,4,0.466516375541687
3,4,0.5080193877220154
4,4,0.2607324421405792
5,4,0.26125234365463257
6,4,0.1475435346364975
7,4,0.203513503074646
8,4,0.1448974311351776
9,4,0.13765768706798553
10,4,0.1438390016555786
11,4,0.11123059689998627
12,4,0.07010342925786972
13,4,0.11334648728370667
14,4,0.07162026315927505
15,4,0.055527664721012115
16,4,0.06959077715873718
17,4,0.061140257865190506
18,4,0.23724514245986938
19,4,0.20504392683506012
20,4,0.08191881328821182
21,4,0.06582581251859665
22,4,0.04928657039999962
23,4,0.06420369446277618
24,4,0.04798536002635956
25,4,0.059886861592531204
26,4,0.0441955104470253
27,5,0.05242455005645752
28,5,0.18879790604114532
29,5,0.03411256894469261
30,5,0.02625749446451664
31,5,0.032435934990644455
32,5,0.1900373101234436
33,5,0.03274158760905266
34,5,0.03012995980679989
35,5,0.027954814955592155
36,5,0.02517460286617279
37,5,0.02808348275721073
38,5,0.020923100411891937
39,5,0.016878783702850342
40,5,0.017559967935085297
41,5,0.025547480210661888
42,5,0.010938498191535473
43,5,0.023387933149933815
44,5,0.03580135852098465
45,5,0.018173977732658386
46,5,0.013225293718278408
47,5,0.04627107456326485
48,5,0.026171434670686722
49,5,0.019662149250507355
50,5,0.1888328343629837
51,5,0.1876598596572876
52,5,0.013195010833442211
53,5,0.1765970140695572
54,5,0.017568428069353104
55,5,0.026478182524442673
56,5,0.18541575968265533
57,5,0.026651490479707718
58,5,0.1839490532875061
59,5,0.015727972611784935
60,5,0.0199030339717865
61,5,0.015967674553394318
62,5,0.01541203074157238
63,5,0.17105142772197723
64,5,0.022911744192242622
65,5,0.01926599070429802
66,5,0.008211730979382992
67,5,0.03123200684785843
68,5,0.022490745410323143
69,5,0.01659921370446682
70,5,0.014978112652897835
71,5,0.01252196915447712
72,5,0.019693290814757347
73,5,0.011830582283437252
74,5,0.016847781836986542
75,5,0.013660049065947533
76,5,0.17423038184642792
77,5,0.013671286404132843
78,5,0.016041520982980728
79,5,0.014557519927620888
80,5,0.17558422684669495
81,5,0.014043042436242104
82,5,0.014785433188080788
83,5,0.02396019548177719
84,5,0.05442008376121521
85,5,0.023259444162249565
86,5,0.018155083060264587
87,5,0.014595725573599339
88,5,0.014158290810883045
89,5,0.029950834810733795
90,5,0.018892735242843628
91,5,0.02552245929837227
92,5,0.026873799040913582
93,5,0.019327668473124504
94,5,0.013499187305569649
95,5,0.01625560037791729
96,5,0.012276018038392067
97,5,0.01819581538438797
98,5,0.024238619953393936
99,5,0.021585999056696892
100,5,0.015176238492131233
101,5,0.007374294102191925
102,5,0.01159919798374176
103,5,0.006903701461851597
104,5,0.01234499178826809
105,5,0.024644169956445694
106,5,0.008380670100450516
107,5,0.004605341237038374
108,5,0.02277017943561077
109,5,0.00680956058204174
110,5,0.022774983197450638
111,5,0.00969594344496727
112,5,0.02099309302866459
113,5,0.010187809355556965
114,5,0.014889184385538101
115,5,0.01760859787464142
116,5,0.009319267235696316
117,5,0.01940878853201866
118,5,0.013254314661026001
119,5,0.010501923970878124
120,5,0.01442153099924326
121,5,0.01149019319564104
122,5,0.010050913318991661
123,5,0.01340944692492485
124,5,0.022628579288721085
125,5,0.005216206889599562
126,5,0.019943222403526306
127,5,0.006334288511425257
128,5,0.020996352657675743
129,5,0.16615745425224304
130,5,0.007488845847547054
131,5,0.005658471491187811
132,5,0.01797308772802353
133,5,0.18500977754592896
134,5,0.023572860285639763
135,5,0.013840685598552227
136,5,0.009415589272975922
137,5,0.013312811963260174
138,5,0.008485552854835987
139,5,0.005477489437907934
140,5,0.010129448026418686
141,5,0.016340456902980804
142,5,0.007715545129030943
143,5,0.009049884043633938
144,5,0.010071325115859509
145,5,0.00713410135358572
146,5,0.017065303400158882
147,5,0.019492562860250473
148,5,0.005191904958337545
149,5,0.00357198272831738
150,5,0.004758426919579506
151,5,0.005166324786841869
152,5,0.011388251557946205
153,5,0.017901143059134483
154,5,0.009956912137567997
155,5,0.00905747339129448
156,5,0.02576480619609356
157,5,0.009450113400816917
158,5,0.011409935541450977
159,5,0.005204384680837393
160,5,0.025101404637098312
161,5,0.0072853825986385345
162,5,0.01877623051404953
163,5,0.012280582450330257
164,5,0.004884250927716494
165,5,0.006329290568828583
166,5,0.006111146416515112
167,5,0.16835856437683105
168,5,0.00818384438753128
169,5,0.01014852523803711
170,5,0.019941499456763268
171,5,0.007823780179023743
172,5,0.01745087280869484
173,5,0.015268583782017231
174,5,0.007765989750623703
175,5,0.015194675885140896
176,5,0.02487928234040737
177,6,0.009065497666597366
178,6,0.024927984923124313
179,6,0.01380105596035719
180,6,0.004974157549440861
181,6,0.007783635053783655
182,6,0.005673391278833151
183,6,0.015355831012129784
184,6,0.007662973366677761
185,6,0.010952681303024292
186,6,0.010633361525833607
187,6,0.1594625860452652
188,6,0.16132773458957672
189,6,0.016356468200683594
190,6,0.022161738947033882
191,6,0.019389726221561432
192,6,0.00988851860165596
193,6,0.018435226753354073
194,6,0.004854116123169661
195,6,0.005699391942471266
196,6,0.15942642092704773
197,6,0.013374898582696915
198,6,0.008511367253959179
199,6,0.014039641246199608
200,6,0.00795751716941595
201,6,0.012236671522259712
202,6,0.019908357411623
203,6,0.017900850623846054
204,6,0.011958487331867218
205,6,0.011191761121153831
206,6,0.16501960158348083
207,6,0.01071388553828001
208,6,0.008720505982637405
209,6,0.008889351971447468
210,6,0.011761212721467018
211,6,0.014695115387439728
212,6,0.00789889506995678
213,6,0.012411145493388176
214,6,0.018397126346826553
215,6,0.005852978210896254
216,6,0.008481254801154137
