goal,episodes,successes,success_rate,mean_reward,mean_episode_length,mean_final_absolute_error
-0.8,5,5,1.0,10.9944956619991,22.0,0.0005673714840916944
-0.4,5,5,1.0,15.331807381263934,16.0,0.016589778480266215
+0.4,5,5,1.0,15.4157781875605,17.0,0.0016433825739493035
+0.8,5,5,1.0,10.914367115544156,22.0,0.003705543803262379
Overall,20,20,1.0,13.164112086591922,19.25,0.005626519085392398
