episode,cumulative_reward,success,episode_length,final_absolute_error,goal_angle,epsilon,mean_loss,terminated,truncated,elapsed_seconds
1,-104.03885188698769,0,150,1.0204905570316838,0.24367882032145705,1.0,nan,0,1,0.4724348109998573
2,-55.78037000419572,0,150,0.16726805001206368,-0.6038951845218055,0.985,nan,0,1,0.9520762499996636
3,2.795781190320845,1,75,0.02410077685640731,0.11700905111600901,0.970225,nan,1,0,1.1778989899999033
4,-66.97271669951732,0,150,0.7341445469728061,0.6489668427044994,0.955671625,0.16629954542105013,0,1,1.7010670429999664
5,-137.979408711195,0,150,1.3263096744093508,0.386883191428097,0.941336550625,0.03598739213931064,0,1,2.793090688999655
6,13.636863255762727,1,89,0.013671202170364105,-0.17968020434304877,0.927216502365625,0.04340940016436945,1,0,3.4135727129996667
7,-142.05280315876007,0,150,1.553899497072433,-0.21943329235818199,0.9133082548301407,0.05125641503681739,0,1,4.525809753999965
8,-37.83999250289053,0,150,0.9267954167114616,0.45987630701859783,0.8996086310076885,0.04705443527549505,0,1,5.575930419000088
9,2.7947606079280334,1,44,0.018891842781564194,0.7079059140326669,0.8861145015425732,0.037685482783920386,1,0,5.843311708999863
10,-155.9000460330397,0,150,1.6362438442540288,0.18522072768389253,0.8728227840194346,0.05009020979205767,0,1,7.045325722999678
11,-258.7763640880585,0,150,2.5045782297115826,-0.782196808697174,0.8597304422591431,0.042053042662640414,0,1,9.183983076999994
12,-214.3608891069889,0,150,2.264971666787993,-0.44407752852496785,0.8468344856252559,0.04847724378108978,0,1,11.409215974999825
13,-61.108417941257365,0,150,1.175147748000874,0.531603493527921,0.834131968340877,0.04136235229981442,0,1,12.836084734999986
14,-43.1456773063168,0,150,0.3935203890828356,0.3618016799416641,0.8216199888157638,0.04695783712901175,0,1,14.334951818999798
15,-37.57625166443175,0,150,0.058211250331606235,0.2946667250488668,0.8092956889835273,0.036903993481149276,0,1,15.735453801999938
16,-244.49240151047707,0,150,1.7425002728878802,-0.30558111909400837,0.7971562536487744,0.03318862328926722,0,1,17.239115627000047
17,-46.417670337390156,0,150,1.040306704212872,0.1403954538661829,0.7851989098440427,0.03835169315959017,0,1,18.624037038000097
18,-163.4754594564438,0,150,1.9640175575261076,-0.28114589967795767,0.773420926196382,0.02840925723624726,0,1,20.01049996499978
19,-207.2821261137724,0,150,1.1409557241090313,-0.20100114739577413,0.7618196123034363,0.03696458521919946,0,1,21.62080395799967
20,-53.55083646699786,0,150,0.14659627665001373,0.17491226697253048,0.7503923181188847,0.0277324076804022,0,1,23.33821105199968
