optimization_step,episode,loss
1,4,0.3751138150691986
2,4,0.47303205728530884
3,4,0.5503610372543335
4,4,0.22651837766170502
5,4,0.21234777569770813
6,4,0.15598170459270477
7,4,0.15533122420310974
8,4,0.13167081773281097
9,4,0.13922543823719025
10,4,0.15425217151641846
11,4,0.11476029455661774
12,4,0.09374356269836426
13,4,0.1169845387339592
14,4,0.07659144699573517
15,4,0.07466980814933777
16,4,0.10589633882045746
17,4,0.11840793490409851
18,4,0.2703813910484314
19,4,0.26528915762901306
20,4,0.0800924003124237
21,4,0.08158798515796661
22,4,0.07036751508712769
23,4,0.07142872363328934
24,4,0.07155317068099976
25,4,0.06811977922916412
26,4,0.07007971405982971
27,5,0.0722532570362091
28,5,0.04217236861586571
29,5,0.20243631303310394
30,5,0.021927623078227043
31,5,0.02625553123652935
32,5,0.19036747515201569
33,5,0.0302374716848135
34,5,0.03415938839316368
35,5,0.03520478680729866
36,5,0.03196568414568901
37,5,0.030748631805181503
38,5,0.02926158532500267
39,5,0.019757788628339767
40,5,0.027518825605511665
41,5,0.03350338339805603
42,5,0.030719585716724396
43,5,0.025098199024796486
44,5,0.05291915684938431
45,5,0.027524087578058243
46,5,0.018786102533340454
47,5,0.04067309945821762
48,5,0.02878657542169094
49,5,0.017010582610964775
50,5,0.19295525550842285
51,5,0.19523268938064575
52,5,0.014573543332517147
53,5,0.18060414493083954
54,5,0.02146132104098797
55,5,0.027728291228413582
56,5,0.18890658020973206
57,5,0.04146583005785942
58,5,0.18709541857242584
59,5,0.03130153566598892
60,5,0.024690108373761177
61,5,0.018490048125386238
62,5,0.018855780363082886
63,5,0.17549794912338257
64,5,0.032633110880851746
65,5,0.01849588192999363
66,5,0.0213824063539505
67,5,0.03339662402868271
68,5,0.032448217272758484
69,5,0.017983974888920784
70,5,0.01662919856607914
71,5,0.021421048790216446
72,5,0.03202393651008606
73,5,0.02437717095017433
74,5,0.020073458552360535
75,5,0.01414004061371088
76,5,0.18336743116378784
77,5,0.0175916850566864
78,5,0.02599913254380226
79,5,0.026759903877973557
80,5,0.20356033742427826
81,5,0.015747636556625366
82,5,0.017616087570786476
83,5,0.030062824487686157
84,5,0.06107677146792412
85,5,0.024735936895012856
86,5,0.02429417334496975
87,5,0.025414422154426575
88,5,0.020690346136689186
89,5,0.032144054770469666
90,5,0.027204090729355812
91,5,0.029205286875367165
92,5,0.02752767875790596
93,5,0.019401486963033676
94,5,0.015043061226606369
95,5,0.0327296257019043
96,5,0.02106195129454136
97,5,0.032625142484903336
98,5,0.024848245084285736
99,5,0.02365083619952202
100,5,0.014938246458768845
101,5,0.01100768893957138
102,5,0.010825186036527157
103,5,0.015045235864818096
104,5,0.021050794050097466
105,5,0.029535682871937752
106,5,0.01638462021946907
107,5,0.005455339793115854
108,5,0.025428958237171173
109,5,0.02218192256987095
110,5,0.025750314816832542
111,5,0.012440063990652561
112,5,0.027189411222934723
113,5,0.01694180630147457
114,5,0.0150044746696949
115,5,0.01933698169887066
116,5,0.02013861946761608
117,5,0.023498643189668655
118,5,0.016244810074567795
119,5,0.010203657671809196
120,5,0.01464100182056427
121,5,0.013942576013505459
122,5,0.02072018012404442
123,5,0.018968377262353897
124,5,0.024717755615711212
125,5,0.006906060501933098
126,5,0.0326351597905159
127,5,0.00816334318369627
128,5,0.021423455327749252
129,5,0.16693037748336792
130,5,0.012828504666686058
131,5,0.005887784529477358
132,5,0.017944281920790672
133,5,0.18403957784175873
134,5,0.023713456466794014
135,5,0.023169511929154396
136,5,0.022654511034488678
137,5,0.014664554968476295
138,5,0.010480131953954697
139,5,0.014363001100718975
140,5,0.016428150236606598
141,5,0.020074764266610146
142,5,0.014285333454608917
143,5,0.009046920575201511
144,5,0.012591625563800335
145,5,0.00877809152007103
146,5,0.023970838636159897
147,5,0.02389722876250744
148,5,0.005783015862107277
